FishID_nodash,Stream,Sex,GenGrp,hindex,cohort,FirstMonthCaught,LastMonthCaught,Longevity,LRS
FCA2B3B0901,Caigual,F,N,0,0,1/7/09,9/12/09,9,NA
FCA2B3Y0901,Caigual,F,N,0,0,1/7/09,6/15/09,6,NA
FCA2B5V0901,Caigual,F,N,0,0,1/7/09,1/7/09,1,NA
FCA2B8R0901,Caigual,F,N,0,0,1/7/09,10/10/09,10,NA
FCA2G3P0901,Caigual,F,N,0,0,1/7/09,1/7/09,1,NA
FCA2G5O0901,Caigual,F,N,0,0,1/7/09,1/7/09,1,NA
FCA2G8K0901,Caigual,F,N,0,0,1/7/09,1/7/09,1,NA
FCA2K3G0901,Caigual,F,N,0,0,1/7/09,1/7/09,1,NA
FCA2K5B0901,Caigual,F,N,0,0,1/7/09,1/7/09,1,NA
FCA2K5Y0901,Caigual,F,N,0,0,1/7/09,2/7/09,2,NA
FCA2K8V0901,Caigual,F,N,0,0,1/7/09,1/7/09,1,3
FCA2O3R0901,Caigual,F,N,0,0,1/7/09,8/13/09,8,NA
FCA2O5P0901,Caigual,F,N,0,0,1/7/09,4/11/10,16,5
FCA2O8O0901,Caigual,F,N,0,0,1/7/09,9/12/09,9,NA
FCA2P3K0901,Caigual,F,N,0,0,1/7/09,12/10/09,12,2
FCA2P3O0901,Caigual,F,N,0,0,1/7/09,1/7/09,1,NA
FCA2P5G0901,Caigual,F,N,0,0,1/7/09,2/7/09,2,NA
FCA2P8B0901,Caigual,F,N,0,0,1/7/09,1/7/09,1,NA
MCA2B8O0901,Caigual,M,N,0,0,1/7/09,1/7/09,1,NA
MCA2G3K0901,Caigual,M,N,0,0,1/7/09,8/13/09,8,NA
FCA2V8Y0902,Caigual,F,N,0,0,2/7/09,NA,NA,NA
FCA2Y3V0902,Caigual,F,N,0,0,2/7/09,6/15/09,5,1
FCA2Y5R0902,Caigual,F,N,0,0,2/7/09,4/11/10,15,5
FCA2Y8P0902,Caigual,F,N,0,0,2/7/09,7/14/09,6,NA
FCA3B5O0902,Caigual,F,N,0,0,2/7/09,2/7/09,1,NA
FCA3B8K0902,Caigual,F,N,0,0,2/7/09,2/7/09,1,NA
FCA3P8K0902,Caigual,F,N,0,0,2/7/09,2/7/09,1,NA
FCA3R5G0902,Caigual,F,N,0,0,2/7/09,8/13/09,7,NA
MCA2P3O0902,Caigual,M,N,0,0,2/7/09,8/13/09,7,NA
MCA2R3B0902,Caigual,M,N,0,0,2/7/09,2/7/09,1,NA
MCA2R8K0905,Caigual,M,N,0,1,5/19/09,NA,NA,NA
MCA1G4G0903,Caigual,M,I,1,2,6/13/09,NA,NA,2
MCA1Y4Y0903,Caigual,M,I,1,2,6/13/09,NA,NA,21
MCA1Y6Y0903,Caigual,M,I,1,2,6/13/09,NA,NA,5
MCA4K6K0903,Caigual,M,I,1,2,6/13/09,6/13/09,1,NA
MCA4Y7Y0903,Caigual,M,I,1,2,6/13/09,NA,NA,NA
MCA6R7R,Caigual,M,I,1,2,6/13/09,NA,NA,1
FCA1B2B0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA1B2G0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA1B2K0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA1B2O0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,3
