"stream","hs","par","lwr","mn","upr"
"Caigual",0,"mu",0.119701421181782,0.298647018648926,0.694418181241599
"Caigual",0.01,"mu",0.132138452446585,0.328843810292937,0.761967526179372
"Caigual",0.02,"mu",0.146126513719602,0.361668440603992,0.837547464339269
"Caigual",0.03,"mu",0.161186756858982,0.397302236110534,0.91918025930726
"Caigual",0.04,"mu",0.17711949070534,0.435934116913347,1.00337428518615
"Caigual",0.05,"mu",0.195027656012203,0.47776041394403,1.10022509858182
"Caigual",0.06,"mu",0.21471923683275,0.522984622737374,1.20393332760006
"Caigual",0.07,"mu",0.235121341814293,0.571817089365843,1.31940944502135
"Caigual",0.08,"mu",0.257794554154788,0.624474624348248,1.43598464782636
"Caigual",0.09,"mu",0.280812051648949,0.681180040565464,1.56420354587402
"Caigual",0.1,"mu",0.306108135905762,0.742161611496627,1.7106001738537
"Caigual",0.11,"mu",0.331571743242024,0.807652446432288,1.86439695852225
"Caigual",0.12,"mu",0.361177125617219,0.87788977972835,2.02897161081507
"Caigual",0.13,"mu",0.390511007299337,0.953114171637753,2.2073633702606
"Caigual",0.14,"mu",0.421911748425382,1.0335686187965,2.39453711586028
"Caigual",0.15,"mu",0.456971307480648,1.11949757304661,2.59483285810182
"Caigual",0.16,"mu",0.491948978637273,1.2111458679502,2.8090980281754
"Caigual",0.17,"mu",0.532353950677659,1.30875755308429,3.04421900394806
"Caigual",0.18,"mu",0.574165778193615,1.41257463700249,3.2875668736354
"Caigual",0.19,"mu",0.619112274372821,1.52283574060373,3.5510647317879
"Caigual",0.2,"mu",0.668240735672357,1.63977466355524,3.82970735411322
"Caigual",0.21,"mu",0.717788241327659,1.76361886737106,4.11867364128422
"Caigual",0.22,"mu",0.771437910614169,1.89458787974181,4.43508522191454
"Caigual",0.23,"mu",0.827964637612302,2.03289162573914,4.76969255729352
"Caigual",0.24,"mu",0.885754079852957,2.17872869256939,5.11116496993027
"Caigual",0.25,"mu",0.945912587022072,2.33228453561683,5.48392716697709
"Caigual",0.26,"mu",1.00870855366388,2.49372963458642,5.87833450881546
"Caigual",0.27,"mu",1.07069183145233,2.66321760961763,6.30919131824793
"Caigual",0.28,"mu",1.13593670947397,2.84088330828304,6.73896789245341
"Caigual",0.29,"mu",1.20524923362563,3.02684087539439,7.19327145767576
"Caigual",0.3,"mu",1.27559994538682,3.22118181850245,7.67802652944608
"Caigual",0.31,"mu",1.35652474832805,3.42397308288038,8.19144460607552
"Caigual",0.32,"mu",1.44032397601024,3.63525515061069,8.72473228341795
"Caigual",0.33,"mu",1.53016997014504,3.85504017913857,9.25574665998386
"Caigual",0.34,"mu",1.61928405348899,4.08331019529594,9.82126450122025
"Caigual",0.35,"mu",1.70922552383202,4.32001536132755,10.3733200841366
"Caigual",0.36,"mu",1.79997368412426,4.5650723298502,10.9735490806991
"Caigual",0.37,"mu",1.89937319941857,4.81836270493586,11.6145448870279
"Caigual",0.38,"mu",1.99641214113529,5.07973162661889,12.2378065223731
"Caigual",0.39,"mu",2.09592713079886,5.34898649607585,12.8770285996171
"Caigual",0.4,"mu",2.19746666181913,5.62589585850572,13.5399322285756
"Caigual",0.41,"mu",2.30064677247324,5.9101884603404,14.2353097360028
"Caigual",0.42,"mu",2.4108816689782,6.20155249683661,14.9010326374015
"Caigual",0.43,"mu",2.52368512250145,6.49963506533497,15.6043655701529
"Caigual",0.44,"mu",2.63583765569283,6.80404183852126,16.3068458749742
"Caigual",0.45,"mu",2.74751657044931,7.11433697088677,17.0515213024257
"Caigual",0.46,"mu",2.85894151426664,7.43004325026475,17.822043597807
"Caigual",0.47,"mu",2.98806896857451,7.75064250482172,18.5635052724851
"Caigual",0.48,"mu",3.11103748924754,8.07557627421456,19.4013296771422
"Caigual",0.49,"mu",3.23269901328387,8.40424675179712,20.203954525815
"Caigual",0.5,"mu",3.35555486272921,8.73601800278516,20.9894733576629
"Caigual",0.51,"mu",3.48422720186358,9.07021746118217,21.7476361891467
"Caigual",0.52,"mu",3.61224744076269,9.40613770604639,22.5888856560599
"Caigual",0.53,"mu",3.73550908656617,9.74303851536173,23.3637758080692
"Caigual",0.54,"mu",3.85473606744099,10.0801491933829,24.1580527061972
"Caigual",0.55,"mu",3.9912723993012,10.4166711648805,24.9583618023935
"Caigual",0.56,"mu",4.12662583248283,10.7517808272387,25.7298457133725
"Caigual",0.57,"mu",4.26489678235301,11.0846326488873,26.5035130500903
"Caigual",0.58,"mu",4.38714691217551,11.4143625000947,27.2678846495971
"Caigual",0.59,"mu",4.50291875803456,11.7400911997571,28.0801958588485
"Caigual",0.6,"mu",4.62178499196488,12.0609282594936,28.8074286919596
"Caigual",0.61,"mu",4.73910318057961,12.3759758041504,29.4057583803796
"Caigual",0.62,"mu",4.84493689910242,12.6843326457333,30.1831899009046
"Caigual",0.63,"mu",4.93487735859398,12.9850984858708,30.872771204049
"Caigual",0.64,"mu",5.05012403575173,13.2773782201745,31.5379408714381
"Caigual",0.65,"mu",5.14342093275391,13.5602863163359,32.2809745027067
"Caigual",0.66,"mu",5.22950864549757,13.832951236501,33.0177695066007
"Caigual",0.67,"mu",5.32404644442417,14.0945198734176,33.7955085671321
"Caigual",0.68,"mu",5.40447241846999,14.3441619690657,34.4194133486921
"Caigual",0.69,"mu",5.48320997626855,14.5810744839798,35.0638304302278
"Caigual",0.7,"mu",5.59153571006638,14.8044858852635,35.5446144878388
"Caigual",0.71,"mu",5.63588427780683,15.0136603213819,36.1750431230669
"Caigual",0.72,"mu",5.68279526919532,15.2079016522131,36.6189583014297
"Caigual",0.73,"mu",5.73965900731461,15.3865573035341,37.2196115481548
"Caigual",0.74,"mu",5.7664509320038,15.5490219161199,37.7081676014465
"Caigual",0.75,"mu",5.81234512499292,15.6947407609273,38.2126678313421
"Caigual",0.76,"mu",5.81050025397196,15.8232128934176,38.6283427139312
"Caigual",0.77,"mu",5.7784963232896,15.9339940219283,38.9882850222123
"Caigual",0.78,"mu",5.7681944039904,16.0266990671151,39.4201968629425
"Caigual",0.79,"mu",5.72526100776243,16.1010043918329,39.8289557663417
"Caigual",0.8,"mu",5.71156254460365,16.1566496833868,40.0982429996615
"Caigual",0.81,"mu",5.67772564311692,16.1934394728332,40.4782789441139
"Caigual",0.82,"mu",5.61353169966508,16.2112442789233,40.8535155468642
"Caigual",0.83,"mu",5.55274985343156,16.2100013673177,41.0796078277397
"Caigual",0.84,"mu",5.4496458559979,16.1897151188449,41.2462472335308
"Caigual",0.85,"mu",5.35794741805162,16.1504570037762,41.4061157821315
"Caigual",0.86,"mu",5.24116372095919,16.09236516233,41.6652390747693
"Caigual",0.87,"mu",5.14729192006238,16.0156435948501,41.7855605676749
"Caigual",0.88,"mu",5.02279018855056,15.9205609683028,42.0619490809353
"Caigual",0.89,"mu",4.89221296569437,15.8074490488638,42.2986424453445
"Caigual",0.9,"mu",4.73211744388854,15.6767007733923,42.3608376239441
"Caigual",0.91,"mu",4.63590241335395,15.5287679754794,42.368196504052
"Caigual",0.92,"mu",4.49046972479271,15.3641587844866,42.382894319334
"Caigual",0.93,"mu",4.34872754900075,15.1834347185224,42.3599179221765
"Caigual",0.94,"mu",4.19352810686489,14.9872074946271,42.4771073327526
"Caigual",0.95,"mu",4.05739566298084,14.776135581512,42.5051499423029
"Caigual",0.96,"mu",3.91483785870682,14.5509205220204,42.4648043169316
"Caigual",0.97,"mu",3.74889878606732,14.3123030540244,42.5400890378598
"Caigual",0.98,"mu",3.59763265595215,14.0610590597274,42.5667601096037
"Caigual",0.99,"mu",3.43639114879164,13.7979953743035,42.352970854186
"Caigual",1,"mu",3.26855374229595,13.5239454854622,42.2774990998024
