"hindex","cohort.fctr","fit","se.fit"
0,"new",0.298647018648926,0.415383353123034
0.01,"new",0.328843810292937,0.457212110270739
0.02,"new",0.361668440603992,0.502694290770351
0.03,"new",0.397302236110534,0.55208499634073
0.04,"new",0.435934116913347,0.605650269174041
0.05,"new",0.47776041394403,0.663666839331401
0.06,"new",0.522984622737374,0.72642177860465
0.07,"new",0.571817089365843,0.794212054284551
0.08,"new",0.624474624348248,0.867343976547955
0.09,"new",0.681180040565464,0.946132533541655
0.1,"new",0.742161611496627,1.03090060870365
0.11,"new",0.807652446432288,1.121978075427
0.12,"new",0.87788977972835,1.21970076484047
0.13,"new",0.953114171637753,1.324409303255
0.14,"new",1.0335686187965,1.43644781670679
0.15,"new",1.11949757304661,1.55616250101464
0.16,"new",1.2111458679502,1.68390005685997
0.17,"new",1.30875755308429,1.82000599058682
0.18,"new",1.41257463700249,1.96482278270259
0.19,"new",1.52283574060373,2.11868792742897
0.2,"new",1.63977466355524,2.28193184809825
0.21,"new",1.76361886737106,2.45487569470212
0.22,"new",1.89458787974181,2.6378290314645
0.23,"new",2.03289162573914,2.83108742391358
0.24,"new",2.17872869256939,3.03492993655393
0.25,"new",2.33228453561683,3.24961655387028
0.26,"new",2.49372963458642,3.47538553901133
0.27,"new",2.66321760961763,3.71245074608338
0.28,"new",2.84088330828304,3.96099890351037
0.29,"new",3.02684087539439,4.2211868873646
0.3,"new",3.22118181850245,4.4931390049205
0.31,"new",3.42397308288038,4.77694430990826
0.32,"new",3.63525515061069,5.07265397202241
0.33,"new",3.85504017913857,5.38027872415104
0.34,"new",4.08331019529594,5.69978641151173
0.35,"new",4.32001536132755,6.03109966739109
0.36,"new",4.5650723298502,6.37409374046705
0.37,"new",4.81836270493586,6.72859449872973
0.38,"new",5.07973162661889,7.09437663479356
0.39,"new",5.34898649607585,7.47116209689879
0.4,"new",5.62589585850572,7.85861876912476
0.41,"new",5.9101884603404,8.25635942327582
0.42,"new",6.20155249683661,8.66394096355048
0.43,"new",6.49963506533497,9.08086398346784
0.44,"new",6.80404183852126,9.5065726526067
0.45,"new",7.11433697088677,9.94045494852359
0.46,"new",7.43004325026475,10.3818432467678
0.47,"new",7.75064250482172,10.8300152792232
0.48,"new",8.07557627421456,11.284195468102
0.49,"new",8.40424675179712,11.7435566398123
0.5,"new",8.73601800278516,12.2072221196643
0.51,"new",9.07021746118217,12.6742682049814
0.52,"new",9.40613770604639,13.1437270106961
0.53,"new",9.74303851536173,13.6145896779671
0.54,"new",10.0801491933829,14.0858099327897
0.55,"new",10.4166711648805,14.5563079780409
0.56,"new",10.7517808272387,15.024974698932
0.57,"new",11.0846326488873,15.4906761584933
0.58,"new",11.4143625000947,15.9522583565187
0.59,"new",11.7400911997571,16.4085522224061
0.6,"new",12.0609282594936,16.8583788095727
0.61,"new",12.3759758041504,17.3005546566565
0.62,"new",12.6843326457333,17.7338972785539
0.63,"new",12.9850984858708,18.1572307485411
0.64,"new",13.2773782201745,18.5693913312954
0.65,"new",13.5602863163359,18.9692331256088
0.66,"new",13.832951236501,19.3556336749825
0.67,"new",14.0945198734176,19.7274995041198
0.68,"new",14.3441619690657,20.0837715396121
0.69,"new",14.5810744839798,20.4234303738324
0.7,"new",14.8044858852635,20.7455013322085
0.71,"new",15.0136603213819,21.0490593056429
0.72,"new",15.2079016522131,21.3332333118462
0.73,"new",15.3865573035341,21.5972107517499
0.74,"new",15.5490219161199,21.8402413299181
0.75,"new",15.6947407609273,22.0616406109648
0.76,"new",15.8232128934176,22.2607931873596
0.77,"new",15.9339940219283,22.4371554376245
0.78,"new",16.0266990671151,22.5902578577495
0.79,"new",16.1010043918329,22.7197069526258
0.8,"new",16.1566496833868,22.8251866783697
0.81,"new",16.1934394728332,22.9064594305259
0.82,"new",16.2112442789233,22.9633665772542
0.83,"new",16.2100013673177,22.9958285406513
0.84,"new",16.1897151188449,23.0038444333012
0.85,"new",16.1504570037762,22.9874912609264
0.86,"new",16.09236516233,22.9469227055843
0.87,"new",16.0156435948501,22.8823675071746
0.88,"new",15.9205609683028,22.7941274640608
0.89,"new",15.8074490488638,22.6825750763233
0.9,"new",15.6767007733923,22.5481508575282
0.91,"new",15.5287679754794,22.391360342902
0.92,"new",15.3641587844866,22.2127708234123
0.93,"new",15.1834347185224,22.0130078364929
0.94,"new",14.9872074946271,21.7927514449784
0.95,"new",14.776135581512,21.552732336272
0.96,"new",14.5509205220204,21.2937277738405
0.97,"new",14.3123030540244,21.0165574328496
0.98,"new",14.0610590597274,20.7220791511373
0.99,"new",13.7979953743035,20.4111846257954
1,"new",13.5239454854622,20.0847950844306
