"hindex","cohort.fctr","fit","se.fit"
0,"new",1.79681531877718,1.02966356409884
0.01,"new",1.86414986769965,1.06432598111148
0.02,"new",1.93295148254759,1.09983986591338
0.03,"new",2.00319777085229,1.13620461791393
0.04,"new",2.07486311015678,1.17341759194208
0.05,"new",2.14791858763281,1.21147398675498
0.06,"new",2.22233194666511,1.25036673898207
0.07,"new",2.29806754083013,1.29008642331544
0.08,"new",2.37508629568305,1.33062115972742
0.09,"new",2.45334567875076,1.37195652846145
0.1,"new",2.53279967811043,1.41407549350313
0.11,"new",2.61339878991254,1.45695833519579
0.12,"new",2.69509001518468,1.50058259261844
0.13,"new",2.77781686622724,1.54492301629564
0.14,"new",2.86151938288466,1.58995153175696
0.15,"new",2.9461341589471,1.63563721441068
0.16,"new",3.03159437890512,1.6819462761409
0.17,"new",3.11782986524751,1.72884206398068
0.18,"new",3.20476713645628,1.77628507115533
0.19,"new",3.29232947581674,1.8242329607311
0.2,"new",3.38043701112117,1.87264060204412
0.21,"new",3.46900680530549,1.92146012002326
0.22,"new",3.55795295801619,1.97064095745902
0.23,"new",3.64718671806313,2.02012995020833
0.24,"new",3.73661660666999,2.06987141526235
0.25,"new",3.82614855139027,2.11980725154171
0.26,"new",3.91568603051218,2.16987705322065
0.27,"new",4.00513022773058,2.22001823531882
0.28,"new",4.09438019681926,2.27016617123723
0.29,"new",4.18333303599186,2.32025434185266
0.3,"new",4.27188407159485,2.37021449572442
0.31,"new",4.35992705073213,2.41997681990679
0.32,"new",4.44735434237745,2.46947012080216
0.33,"new",4.53405714648834,2.51862201443285
0.34,"new",4.61992571059462,2.56735912545445
0.35,"new",4.70484955329443,2.61560729418041
0.36,"new",4.7887176940534,2.66329179083761
0.37,"new",4.8714188886663,2.71033753622472
0.38,"new",4.95284186970684,2.75666932790091
0.39,"new",5.03287559125981,2.80221207099147
0.4,"new",5.11140947720097,2.84689101265962
0.41,"new",5.18833367226385,2.89063197926069
0.42,"new",5.26353929510926,2.93336161516578
0.43,"new",5.3369186925935,2.97500762221786
0.44,"new",5.40836569441403,3.0154989987635
0.45,"new",5.4777758672977,3.05476627718912
0.46,"new",5.545046767887,3.09274175888102
0.47,"new",5.61007819347269,3.12935974552459
0.48,"new",5.67277242971868,3.16455676565947
0.49,"new",5.73303449452576,3.19827179541441
0.5,"new",5.79077237718533,3.23044647235836
0.51,"new",5.84589727198272,3.26102530142229
0.52,"new",5.89832380542186,3.28995585187056
0.53,"new",5.94797025625904,3.31718894432988
0.54,"new",5.99475876755294,3.34267882691918
0.55,"new",6.0386155499618,3.36638333956422
0.56,"new",6.07947107554516,3.38826406562645
0.57,"new",6.11726026135824,3.4082864700268
0.58,"new",6.15192264216055,3.42642002310075
0.59,"new",6.18340253159761,3.44263830948168
0.6,"new",6.21164917125433,3.45691912137458
0.61,"new",6.23661686702181,3.46924453565129
0.62,"new",6.25826511226466,3.47960097427138
0.63,"new",6.27655869732439,3.4879792476096
0.64,"new",6.29146780494427,3.49437458035035
0.65,"new",6.30296809125383,3.49878661969229
0.66,"new",6.31104075200508,3.5012194256915
0.67,"new",6.31567257380818,3.50168144365829
0.68,"new",6.31685597017118,3.50018545861241
0.69,"new",6.31458900220613,3.49674853189083
0.7,"new",6.30887538392268,3.49139192009429
0.71,"new",6.29972447208866,3.48414097664979
0.72,"new",6.28715124069664,3.47502503635885
0.73,"new",6.27117624013382,3.46407728339252
0.74,"new",6.25182554121114,3.4513346032856
0.75,"new",6.22913066426512,3.4368374195725
0.76,"new",6.20312849360203,3.42062951579581
0.77,"new",6.1738611776097,3.4027578437059
0.78,"new",6.14137601491552,3.3832723185544
0.79,"new",6.10572532702093,3.36222560246668
0.8,"new",6.06696631789256,3.33967287695757
0.81,"new",6.02516092103729,3.31567160573049
0.82,"new",5.98037563463345,3.29028128897165
0.83,"new",5.9326813453322,3.26356321041853
0.84,"new",5.88215314138249,3.23558017854412
0.85,"new",5.82887011576879,3.20639626325526
0.86,"new",5.77291516008341,3.17607652955407
0.87,"new",5.7143747498849,3.14468676965512
0.88,"new",5.65333872231937,3.11229323508731
0.89,"new",5.58990004680402,3.07896237033719
0.9,"new",5.52415458959068,3.04476054960903
0.91,"new",5.45620087304174,3.0097538182857
0.92,"new",5.38613983046198,2.97400764067205
0.93,"new",5.31407455733693,2.93758665558821
0.94,"new",5.2401100598319,2.90055444135395
0.95,"new",5.16435300140534,2.86297329166433
0.96,"new",5.08691144838626,2.82490400380295
0.97,"new",5.00789461535787,2.78640568056951
0.98,"new",4.92741261117808,2.7475355472136
0.99,"new",4.84557618645327,2.70834878456633
1,"new",4.76249648326343,2.66889837944547
