"stream","Sex","hindex","lwr","mn","upr"
"Caigual","M",0,1.82204687797215,2.22298324492359,2.71648894741262
"Caigual","M",0.01,1.8724654209909,2.27255702860161,2.76172065292991
"Caigual","M",0.02,1.9229469911413,2.32188248597122,2.80481211266756
"Caigual","M",0.03,1.9738714995889,2.37089611513738,2.85293229977397
"Caigual","M",0.04,2.02309860813202,2.41953360594851,2.90027185071638
"Caigual","M",0.05,2.0707561645837,2.46772997439746,2.94364324202274
"Caigual","M",0.06,2.11205315611594,2.51541970180228,2.99552622139975
"Caigual","M",0.07,2.15515685866805,2.56253687837329,3.04412487066038
"Caigual","M",0.08,2.19597222562315,2.60901535074699,3.09510097505781
"Caigual","M",0.09,2.23456798903937,2.65478887304301,3.14823120960244
"Caigual","M",0.1,2.27446918089375,2.69979126097678,3.2020784358488
"Caigual","M",0.11,2.31212552057959,2.74395654854027,3.25695502971004
"Caigual","M",0.12,2.34725091446359,2.78721914674298,3.30926613412783
"Caigual","M",0.13,2.3804333597228,2.82951400388882,3.36344073676256
"Caigual","M",0.14,2.4078164067071,2.87077676684917,3.41301390701992
"Caigual","M",0.15,2.43576690641312,2.91094394277963,3.4698878671353
"Caigual","M",0.16,2.46473008501691,2.94995306071771,3.52435634614533
"Caigual","M",0.17,2.49378161304334,2.98774283249084,3.57847400072204
"Caigual","M",0.18,2.52112670008675,3.02425331235865,3.63255712326733
"Caigual","M",0.19,2.54437152604999,3.05942605481083,3.67935703559093
"Caigual","M",0.2,2.56500125817391,3.09320426994191,3.72772681750793
"Caigual","M",0.21,2.58402587872832,3.12553297582702,3.77640689047099
"Caigual","M",0.22,2.60414871726618,3.15635914732796,3.82079377237555
"Caigual","M",0.23,2.62334187180121,3.18563186076727,3.86158368021173
"Caigual","M",0.24,2.64216668884043,3.21330243391888,3.90237325373361
"Caigual","M",0.25,2.65708757846972,3.23932456077726,3.94166803608621
"Caigual","M",0.26,2.66882930118284,3.26365444058361,3.97802149122647
"Caigual","M",0.27,2.68195383469851,3.28625090060621,4.01454023978
"Caigual","M",0.28,2.69439979925045,3.30707551219347,4.05079129106527
"Caigual","M",0.29,2.70632602433823,3.32609269964202,4.07844781282898
"Caigual","M",0.3,2.71614610810671,3.34326984144825,4.10707194914026
"Caigual","M",0.31,2.7248226874544,3.35857736354013,4.12937417056759
"Caigual","M",0.32,2.73206022330139,3.37198882411622,4.15251756676606
"Caigual","M",0.33,2.7381706569756,3.38348098975138,4.17327495782855
"Caigual","M",0.34,2.74393515407676,3.39303390246258,4.1874560086103
"Caigual","M",0.35,2.74825103714972,3.40063093746374,4.20256076766689
"Caigual","M",0.36,2.75015925774779,3.40625885137581,4.2097142102965
"Caigual","M",0.37,2.74826985247267,3.40990782069624,4.21912755407935
"Caigual","M",0.38,2.74664075708304,3.41157147037157,4.22377987954767
"Caigual","M",0.39,2.74757126788881,3.41124689235676,4.22529492053941
"Caigual","M",0.4,2.7424069864602,3.40893465408557,4.22705788940995
"Caigual","M",0.41,2.73917533356165,3.40463879681758,4.21805861488477
"Caigual","M",0.42,2.73470346621213,3.39836682386846,4.21033883105587
"Caigual","M",0.43,2.72800025509552,3.39012967877162,4.20461419293778
"Caigual","M",0.44,2.71708103034655,3.37994171345999,4.18958308310668
"Caigual","M",0.45,2.70376364932184,3.3678206465977,4.17619581233936
"Caigual","M",0.46,2.69071822992284,3.35378751223073,4.16238730544362
"Caigual","M",0.47,2.67533677839232,3.33786659896497,4.14432108539278
"Caigual","M",0.48,2.65721306738174,3.32008537991788,4.12408883801324
"Caigual","M",0.49,2.64175325642448,3.30047443372638,4.09777076617869
"Caigual","M",0.5,2.62103223481741,3.27906735692899,4.07321322834922
"Caigual","M",0.51,2.5976094736068,3.25590066807349,4.04463781689842
"Caigual","M",0.52,2.57753550729173,3.23101370393327,4.01557847946506
"Caigual","M",0.53,2.55462789888727,3.20444850824491,3.98443165099057
"Caigual","M",0.54,2.52758270630321,3.17624971340755,3.95037132506969
"Caigual","M",0.55,2.4982498337753,3.14646441560959,3.90887026032142
"Caigual","M",0.56,2.4660445784626,3.1151420438715,3.87845216653591
"Caigual","M",0.57,2.43261233303321,3.08233422351386,3.84428556518125
"Caigual","M",0.58,2.39793669366439,3.04809463457808,3.8067092247842
"Caigual","M",0.59,2.36502034398138,3.01247886574218,3.76796043864865
"Caigual","M",0.6,2.32679699067353,2.97554426428713,3.72892148166212
"Caigual","M",0.61,2.28926299656397,2.93734978267905,3.68435663979072
"Caigual","M",0.62,2.24692912735532,2.89795582233987,3.64686455996364
"Caigual","M",0.63,2.20514308357888,2.85742407518375,3.60151032246982
"Caigual","M",0.64,2.16159621194756,2.815817363498,3.56145515620175
"Caigual","M",0.65,2.118567275232,2.77319947874687,3.52467039684777
"Caigual","M",0.66,2.07247511242009,2.72963501987254,3.48530191061707
"Caigual","M",0.67,2.02320611003742,2.68518923166181,3.4480464550655
"Caigual","M",0.68,1.97410173781097,2.63992784373809,3.40598975149711
"Caigual","M",0.69,1.92472155760138,2.59391691072723,3.35738087015532
"Caigual","M",0.7,1.87130263379337,2.54722265413223,3.31260987850286
"Caigual","M",0.71,1.81858973978196,2.49991130643597,3.27201727387271
"Caigual","M",0.72,1.76398806994632,2.45204895793335,3.22903254675217
"Caigual","M",0.73,1.71616602622363,2.40370140677419,3.18331013305081
"Caigual","M",0.74,1.66240815670192,2.35493401267667,3.13705793936668
"Caigual","M",0.75,1.60651731400908,2.30581155474718,3.09490398435979
"Caigual","M",0.76,1.55049625449404,2.25639809381807,3.05412847083604
"Caigual","M",0.77,1.49790078355339,2.20675683968751,3.01659701712054
"Caigual","M",0.78,1.44350030531767,2.1569500236188,2.97129464646578
"Caigual","M",0.79,1.39107712915016,2.10703877642701,2.9287766051527
"Caigual","M",0.8,1.33645462360408,2.05708301245167,2.89097341572266
"Caigual","M",0.81,1.28600032195793,2.00714131968356,2.85174195816747
"Caigual","M",0.82,1.23674442639479,1.95727085628288,2.81295696746113
"Caigual","M",0.83,1.1877204339411,1.90752725369458,2.76800974861889
"Caigual","M",0.84,1.13700539756674,1.85796452653541,2.72930886281578
"Caigual","M",0.85,1.09186867369546,1.80863498939543,2.68773040560368
"Caigual","M",0.86,1.04544159481863,1.75958918066535,2.65408610596272
"Caigual","M",0.87,0.994531005791842,1.7108757934701,2.61195219909946
"Caigual","M",0.88,0.951621282204132,1.66254161375807,2.57431931906426
"Caigual","M",0.89,0.905564383735524,1.61463146556558,2.53544992867565
"Caigual","M",0.9,0.8611345248893,1.56718816344657,2.50038785373119
"Caigual","M",0.91,0.819239951227762,1.52025247202914,2.4567358727795
"Caigual","M",0.92,0.779337925377454,1.47386307263281,2.41581935589941
"Caigual","M",0.93,0.739928900999075,1.42805653685421,2.37942078253535
"Caigual","M",0.94,0.701322125998669,1.38286730700337,2.34178505657778
"Caigual","M",0.95,0.66442710309803,1.33832768324903,2.30016203240465
"Caigual","M",0.96,0.629620447704293,1.29446781730872,2.26372828456851
"Caigual","M",0.97,0.596225494074624,1.25131571249824,2.22701648038199
"Caigual","M",0.98,0.563228712847146,1.20889722993571,2.1873497706018
"Caigual","M",0.99,0.532871569963492,1.16723610067713,2.15116326231628
"Caigual","M",1,0.503143408621542,1.12635394354402,2.11378108055669
