"stream","Sex","hindex","lwr","mn","upr","parameter"
"Taylor","M",0,0.373028352722008,0.552792499449088,0.813345545224472,"mu"
"Taylor","M",0.01,0.387497878809805,0.572819216288225,0.840598320088759,"mu"
"Taylor","M",0.02,0.401788634454534,0.593288800491894,0.867700310906653,"mu"
"Taylor","M",0.03,0.417074832665449,0.614197233770418,0.896642665904636,"mu"
"Taylor","M",0.04,0.432764177507914,0.635539717260378,0.924831298886087,"mu"
"Taylor","M",0.05,0.44854116118559,0.657310653320529,0.951584391126454,"mu"
"Taylor","M",0.06,0.465504360891042,0.679503628625426,0.980908979525636,"mu"
"Taylor","M",0.07,0.481720337072878,0.702111398650968,1.01092519434475,"mu"
"Taylor","M",0.08,0.49859571296856,0.725125873644612,1.04223283539309,"mu"
"Taylor","M",0.09,0.515344640705778,0.748538106171109,1.07606888510034,"mu"
"Taylor","M",0.1,0.531325266610747,0.772338280322339,1.10828735047404,"mu"
"Taylor","M",0.11,0.54962523499862,0.796515702677097,1.14184935175289,"mu"
"Taylor","M",0.12,0.567091530050964,0.821058795093566,1.17523150716458,"mu"
"Taylor","M",0.13,0.583794027972993,0.845955089413636,1.20796819491046,"mu"
"Taylor","M",0.14,0.600451020903096,0.871191224154272,1.24145570060178,"mu"
"Taylor","M",0.15,0.618206795348502,0.896752943256741,1.27731498152763,"mu"
"Taylor","M",0.16,0.637118513874615,0.922625096959701,1.31489998552346,"mu"
"Taylor","M",0.17,0.654906349247316,0.94879164485697,1.35369009863857,"mu"
"Taylor","M",0.18,0.671928431530409,0.975235661195202,1.3897887029387,"mu"
"Taylor","M",0.19,0.689387583685836,1.00193934246071,1.42763221767816,"mu"
"Taylor","M",0.2,0.709160358907492,1.02888401729839,1.46420974353342,"mu"
"Taylor","M",0.21,0.727131006430898,1.056050158799,1.50383029671267,"mu"
"Taylor","M",0.22,0.746367108129016,1.08341739918399,1.5417627330029,"mu"
"Taylor","M",0.23,0.765356620135038,1.11096454690997,1.58184266862638,"mu"
"Taylor","M",0.24,0.784239317366651,1.13866960620705,1.62553649520867,"mu"
"Taylor","M",0.25,0.802828621834616,1.16650979905761,1.66240863664938,"mu"
"Taylor","M",0.26,0.821249711113387,1.19446158961407,1.70322494129702,"mu"
"Taylor","M",0.27,0.839902574963875,1.22250071104568,1.74528512989707,"mu"
"Taylor","M",0.28,0.85769813856504,1.25060219479621,1.78654061444877,"mu"
"Taylor","M",0.29,0.873786682249736,1.27874040222569,1.82922572419841,"mu"
